vid,from,WKT,cost_before,cost_remain,visit_number
3818837346,3818837351,"LINESTRING(8559008.21532224 5341500.25442922,8558991.229315953 5341479.285340234)",959,8764,423
2568901800,2568901780,"LINESTRING(8561355.68139091 5342679.2591233235,8561477.13133585 5342689.162462551)",3360,6375,443
3818837351,3818844169,"LINESTRING(8558974.243309667 5341532.87310588,8559008.21532224 5341500.25442922)",932,8737,386
2235647693,2235647752,"LINESTRING(8558823.91715404 5341684.318457533,8558821.369253097 5341721.597690835)",642,9112,459
3818837353,4428057511,"LINESTRING(8559091.446753038 5341568.98677394,8559045.584536066 5341475.208022854)",921,8692,338
260706865,260706791,"LINESTRING(8560039.265903775 5341718.685245362,8560258.38538486 5341930.713654914)",1743,7654,113
3245711233,3793382659,"LINESTRING(8564805.539267514 5345468.338921358,8564860.743787942 5345412.397633403)",8184,1590,483
4277248395,4278396500,"LINESTRING(8560383.232531058 5342128.766527433,8560429.09474803 5342171.872710455)",1840,7360,43
6322387185,5203850363,"LINESTRING(8563706.544660835 5345307.508624083,8563691.257255178 5345322.659185777)",6614,2908,239
2187767012,260711593,"LINESTRING(8564930.386413712 5345422.303878664,8565079.863269025 5345256.229982752)",8484,1290,487
7206064665,4929479189,"LINESTRING(8560522.5177826 5342226.046980029,8560571.777200827 5342262.163334735)",2014,7208,55
3873500004,2187767015,"LINESTRING(8565338.89986488 5345506.798751732,8565463.74701108 5345627.423795338)",9009,765,499
290894374,290894373,"LINESTRING(8560009.540392775 5342026.8270231765,8560018.033395918 5342121.776354384)",1620,7852,152
4288248007,3811153311,"LINESTRING(8559364.921454236 5341616.750227308,8559381.058160208 5341484.5276080575)",688,8460,16
2458680466,4278407761,"LINESTRING(8559138.158270326 5341706.452984318,8559270.649119351 5341657.524100718)",471,8713,22
260381535,2180483487,"LINESTRING(8559998.499488689 5341791.49665527,8560001.896689946 5341848.58119852)",1347,8001,94
2187766776,3873500003,"LINESTRING(8565746.564015735 5345322.07647141,8565896.040871048 5345467.756197877)",9626,151,505
4252366106,4252366022,"LINESTRING(8563854.32291552 5345472.417986747,8563861.966618348 5345478.245226118)",6835,2687,256
2315284589,3540581374,"LINESTRING(8559933.952664804 5341606.265545839,8559970.472578319 5341638.884593593)",1330,8067,110
6517469116,9620024298,"LINESTRING(8563826.296005148 5345545.258740918,8563829.693206405 5345548.755111447)",6908,2614,260
2430365626,2429960985,"LINESTRING(8564080.236799117 5345598.869899921,8564053.05918906 5345621.596462634)",7096,2583,392
2429960987,2430365626,"LINESTRING(8564053.05918906 5345621.596462634,8564047.11408686 5345627.423795338)",7104,2575,393
3958764837,4246713554,"LINESTRING(8563553.670604264 5345165.910335134,8563570.65661055 5345182.808783247)",6408,3114,227
4929479192,4929479194,"LINESTRING(8560477.504865943 5342220.804295015,8560550.54469297 5342176.532850295)",2032,7428,148
3812514742,5061880832,"LINESTRING(8559086.350951152 5341881.783593717,8559041.338034496 5341872.463611191)",387,8857,58
