vid,from,WKT,cost_before,cost_remain,visit_number
297162383,260540446,"LINESTRING(8565315.968756394 5354988.496651779,8565427.227097565 5354989.079971574)",7163,15958,6787
2926665913,297408757,"LINESTRING(8569390.911664309 5353094.066900136,8569264.365917481 5353125.559808457)",2499,19930,3597
2200688878,2200690877,"LINESTRING(8564831.867577257 5353683.118573763,8564826.77177537 5353701.198967465)",5853,16607,3754
2365925869,2365925871,"LINESTRING(8566178.00857539 5353609.047650228,8566170.36487256 5353607.881183707)",4408,17496,1969
2640232872,2640232870,"LINESTRING(8565465.445611708 5353257.94782959,8565461.199110137 5353309.270564676)",4834,17297,2712
3907019645,3907019641,"LINESTRING(8565192.820210824 5351748.136286334,8565256.517734395 5351754.55057199)",3808,18456,3098
6562194515,6562194514,"LINESTRING(8565800.069935534 5355197.91080854,8565710.044102222 5355195.577477203)",6114,15986,2638
2194439349,2194439373,"LINESTRING(8568703.827710057 5355851.26660799,8568593.4186692 5355909.020801277)",5138,17554,4789
260542042,260542057,"LINESTRING(8567515.656570379 5351551.628040792,8567493.574762208 5351805.865016391)",1380,19730,154
2281409043,2281408569,"LINESTRING(8567592.093598664 5354781.420435712,8567491.876161579 5354778.503902203)",4328,17508,1689
297431879,295844080,"LINESTRING(8567155.553237123 5352982.0929781925,8567015.418685269 5352968.096332689)",2931,18527,620
2281409123,2281408495,"LINESTRING(8567347.495108152 5355150.660963028,8567346.645807838 5355215.994146247)",4893,17097,2305
2562561612,27519138,"LINESTRING(8564588.967687372 5356277.139288174,8564524.420863487 5356371.067257102)",8204,14321,4043
295844288,2281408242,"LINESTRING(8566611.151735673 5354082.061877156,8566594.165729387 5354222.046037683)",4504,17301,1578
2641610413,2641610414,"LINESTRING(8565447.610305108 5350839.684841174,8565448.459605422 5350827.440594186)",3439,19340,5230
6350830499,1426803603,"LINESTRING(8569542.936420565 5354468.189960884,8569486.033299508 5354432.609512488)",3804,19195,6278
295844094,295855297,"LINESTRING(8567643.900917836 5352590.1948617445,8567631.161413122 5352748.235122272)",2223,19093,338
